data;municipio;confirmados;confirmados100;obitos;obitos100;mortalidade
;;;;;;
02/10/2021;Varre-Sai;2.859;25.742,84;7;0,24%;63,03
02/10/2021;Mendes;4.092;21.943,37;60;1,47%;321,75
02/10/2021;Macuco;1.121;19.935,98;12;1,07%;213,41
02/10/2021;Cantagalo;3.806;18.871,48;29;0,76%;143,79
02/10/2021;Cordeiro;4.059;18.415,68;22;0,54%;99,81
02/10/2021;Rio Bonito;11.058;18.255,66;241;2,18%;397,87
02/10/2021;Iguaba Grande;5.181;17.966,50;141;2,72%;488,96
02/10/2021;Teresópolis;32.560;17.672,60;904;2,78%;490,66
02/10/2021;Sapucaia;3.201;17.540,69;118;3,69%;646,61
02/10/2021;Santo Antônio de Pádua;7.391;17.352,21;157;2,12%;368,6
02/10/2021;Barra Mansa;30.947;16.743,22;665;2,15%;359,78
02/10/2021;Armação dos Búzios;5.682;16.480,55;73;1,28%;211,74
02/10/2021;Piraí;4.502;15.237,77;104;2,31%;352,01
02/10/2021;São José de Ubá;1.092;15.154,04;8;0,73%;111,02
02/10/2021;Itaperuna;15.429;14.864,16;268;1,74%;258,19
02/10/2021;Sumidouro;2.314;14.769,90;56;2,42%;357,44
02/10/2021;Macaé;37.619;14.385,80;763;2,03%;291,78
02/10/2021;Miguel Pereira;3.648;14.260,58;77;2,11%;301
02/10/2021;Carmo;2.695;14.161,85;50;1,86%;262,74
02/10/2021;Volta Redonda;38.134;13.918,13;1.229;3,22%;448,56
02/10/2021;São João da Barra;5.060;13.892,32;22;0,43%;60,4
02/10/2021;Porciúncula;2.614;13.786,92;90;3,44%;474,68
02/10/2021;Quissamã;3.458;13.762,64;78;2,26%;310,44
02/10/2021;Silva Jardim;2.915;13.387,53;31;1,06%;142,37
02/10/2021;Nova Friburgo;25.094;13.127,36;852;3,40%;445,7
02/10/2021;Três Rios;10.758;13.096,83;274;2,55%;333,57
02/10/2021;Areal;1.656;13.071,28;51;3,08%;402,56
02/10/2021;Tanguá;4.463;12.895,12;130;2,91%;375,61
02/10/2021;Pinheiral;3.258;12.844,98;77;2,36%;303,58
02/10/2021;Itaocara;2.929;12.613,04;81;2,77%;348,81
02/10/2021;Resende;16.542;12.502,27;505;3,05%;381,67
02/10/2021;Paraíba do Sul;5.347;12.010,87;170;3,18%;381,87
02/10/2021;Engenheiro Paulo de Frontin;1.669;11.861,27;66;3,95%;469,05
02/10/2021;Bom Jesus do Itabapoana;4.369;11.743,68;108;2,47%;290,3
02/10/2021;Paty do Alferes;3.200;11.486,83;98;3,06%;351,78
02/10/2021;Cardoso Moreira;1.438;11.215,97;17;1,18%;132,59
02/10/2021;Rio das Ostras;17.072;11.000,50;502;2,94%;323,47
02/10/2021;Niterói;56.023;10.871,56;2.369;4,23%;459,72
02/10/2021;Miracema;2.946;10.849,23;143;4,85%;526,63
02/10/2021;Casimiro de Abreu;4.860;10.790,17;148;3,05%;328,59
02/10/2021;Carapebus;1.767;10.653,56;16;0,91%;96,47
02/10/2021;Cambuci;1.647;10.616,22;40;2,43%;257,83
02/10/2021;Porto Real;2.118;10.603,78;41;1,94%;205,27
02/10/2021;Aperibé;1.233;10.360,47;31;2,51%;260,48
02/10/2021;São José do Vale do Rio Preto;2.269;10.353,17;75;3,31%;342,22
02/10/2021;Comendador Levy Gasparian;821;9.573,23;32;3,90%;373,13
02/10/2021;Itaguaí;12.684;9.408,17;398;3,14%;295,21
02/10/2021;Conceição de Macabu;2.142;9.154,63;78;3,64%;333,36
02/10/2021;Laje do Muriaé;644;8.790,61;14;2,17%;191,1
02/10/2021;Trajano de Moraes;919;8.637,22;5;0,54%;46,99
02/10/2021;Rio Claro;1.589;8.540,71;65;4,09%;349,37
02/10/2021;Guapimirim;5.202;8.473,97;190;3,65%;309,51
02/10/2021;Paraty;3.681;8.427,20;88;2,39%;201,47
02/10/2021;Vassouras;3.097;8.351,54;135;4,36%;364,05
02/10/2021;Angra dos Reis;17.161;8.288,58;540;3,15%;260,81
02/10/2021;São Sebastião do Alto;769;8.192,18;29;3,77%;308,94
02/10/2021;Itatiaia;2.622;8.177,40;71;2,71%;221,43
02/10/2021;Natividade;1.195;7.804,85;28;2,34%;182,88
02/10/2021;Maricá;12.712;7.727,47;640;5,03%;389,05
02/10/2021;Mangaratiba;3.465;7.662,54;161;4,65%;356,04
02/10/2021;Cabo Frio;17.506;7.598,82;854;4,88%;370,7
02/10/2021;Valença;5.762;7.495,87;204;3,54%;265,39
02/10/2021;Quatis;1.082;7.495,67;29;2,68%;200,9
02/10/2021;Barra do Piraí;7.539;7.481,84;390;5,17%;387,04
02/10/2021;Campos dos Goytacazes;37.667;7.368,81;1.907;5,06%;373,07
02/10/2021;Bom Jardim;2.023;7.325,46;51;2,52%;184,68
02/10/2021;Rio de Janeiro;484.433;7.179,11;34.102;7,04%;505,38
02/10/2021;Paracambi;3.761;7.138,93;133;3,54%;252,45
02/10/2021;Petrópolis;20.933;6.825,73;1.488;7,11%;485,2
02/10/2021;Itaboraí;15.573;6.420,72;834;5,36%;343,86
02/10/2021;São Gonçalo;69.414;6.358,12;3.170;4,57%;290,36
02/10/2021;Magé;15.107;6.130,27;640;4,24%;259,71
02/10/2021;São Francisco de Itabapoana;2.474;5.861,17;102;4,12%;241,65
02/10/2021;Cachoeiras de Macacu;3.465;5.842,87;109;3,15%;183,8
02/10/2021;Rio das Flores;533;5.704,20;17;3,19%;181,93
02/10/2021;Araruama;7.378;5.493,96;484;6,56%;360,41
02/10/2021;São Pedro da Aldeia;5.684;5.359,79;325;5,72%;306,46
02/10/2021;Belford Roxo;23.778;4.634,02;917;3,86%;178,71
02/10/2021;Queimados;6.889;4.552,15;227;3,30%;150
02/10/2021;Italva;633;4.137,53;31;4,90%;202,63
02/10/2021;Saquarema;3.720;4.106,73;312;8,39%;344,44
02/10/2021;Seropédica;3.313;3.987,15;203;6,13%;244,31
02/10/2021;São João de Meriti;16.336;3.454,39;1.307;8,00%;276,38
02/10/2021;Nova Iguaçu;25.841;3.138,70;2.058;7,96%;249,97
02/10/2021;Arraial do Cabo;921;3.010,49;44;4,78%;143,82
02/10/2021;Duque de Caxias;25.929;2.804,28;1.702;6,56%;184,07
02/10/2021;Nilópolis;4.531;2.785,00;561;12,38%;344,82
02/10/2021;Santa Maria Madalena;274;2.636,64;11;4,01%;105,85
02/10/2021;Mesquita;4.247;2.405,29;490;11,54%;277,51
02/10/2021;Duas Barras;245;2.125,26;7;2,86%;60,72
02/10/2021;São Fidélis;615;1.588,74;98;15,93%;253,16
02/10/2021;Japeri;1.235;1.170,08;142;11,50%;134,54
